RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,31-12-2023,31-03-2024,30-06-2024
84501,5568,60450,zip,IL,IL,Morris,"Chicago-Naperville-Elgin, IL-IN-WI",Grundy County,,,
84692,5634,60803,zip,IL,IL,Alsip,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,
85770,5690,62901,zip,IL,IL,Carbondale,"Carbondale-Marion, IL",Jackson County,601.5425731,627.4719406,620.4878042
84277,5766,60008,zip,IL,IL,Rolling Meadows,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1813.506254,1831.064714,1832.785907
84829,5771,61111,zip,IL,IL,Loves Park,"Rockford, IL",Winnebago County,,,1510.691149
84308,5841,60045,zip,IL,IL,Lake Forest,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,,,
84651,5904,60654,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2639.865427,2715.996964,2834.975873
84471,5969,60419,zip,IL,IL,Dolton,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,1822.439944,1996.407595
84832,6004,61115,zip,IL,IL,Machesney Park,"Rockford, IL",Winnebago County,,,
84439,6055,60194,zip,IL,IL,Schaumburg,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2104.242661,2092.760379,2229.940251
84819,6101,61101,zip,IL,IL,Rockford,"Rockford, IL",Winnebago County,1008.75774,1076.60001,1112.129142
84822,6246,61104,zip,IL,IL,Rockford,"Rockford, IL",Winnebago County,,927.2831692,1001.267396
84360,6287,60106,zip,IL,IL,Bensenville,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,,,1593.301028
84517,6312,60466,zip,IL,IL,Park Forest,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,1822.04314
84371,6417,60118,zip,IL,IL,West Dundee,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,2185.815082,2082.029407,2089.26945
85344,6464,62220,zip,IL,IL,Belleville,"St. Louis, MO-IL",Saint Clair County,,,1096.082779
84487,6744,60436,zip,IL,IL,Rockdale,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,,,
84455,6773,60304,zip,IL,IL,Oak Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1441.330051,1440.502596,1439.312365
85070,7335,61603,zip,IL,IL,Peoria,"Peoria, IL",Peoria County,1025.724203,1109.954643,1117.907822
85593,7341,62629,zip,IL,IL,Chatham,"Springfield, IL",Sangamon County,,,1493.500811
85278,7365,62034,zip,IL,IL,Glen Carbon,"St. Louis, MO-IL",Madison County,,,
399605,7590,60403,zip,IL,IL,Crest Hill,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,1453.852992,1466.329331,1510.043703
85337,7590,62208,zip,IL,IL,Fairview Heights,"St. Louis, MO-IL",Saint Clair County,,,
84539,7653,60503,zip,IL,IL,Aurora,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,,,
84496,7772,60445,zip,IL,IL,Midlothian,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,1358.759383
84583,7825,60555,zip,IL,IL,Warrenville,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2033.333788,2079.170103,2189.008067
84508,7851,60457,zip,IL,IL,Hickory Hills,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,
84603,7958,60601,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2695.262868,2816.364658,2848.377936
84419,8029,60173,zip,IL,IL,Schaumburg,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1919.994824,1972.98389,2010.164256
84381,8152,60130,zip,IL,IL,Forest Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1274.455,1288.878005,1325.037754
85536,8189,62522,zip,IL,IL,Decatur,"Decatur, IL",Macon County,,,
85208,8243,61866,zip,IL,IL,Rantoul,"Champaign-Urbana, IL",Champaign County,,724.0598272,732.6639004
84293,8354,60026,zip,IL,IL,Glenview,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,
84509,8367,60458,zip,IL,IL,Justice,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1223.93241,1166.933098,1238.792592
84690,8455,60712,zip,IL,IL,Lincolnwood,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,2542.788338
84468,8475,60415,zip,IL,IL,Chicago Ridge,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,
85784,8488,62918,zip,IL,IL,Carterville,"Carbondale-Marion, IL",Williamson County,,,
84571,8499,60542,zip,IL,IL,North Aurora,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,,,
85335,8799,62206,zip,IL,IL,Cahokia,"St. Louis, MO-IL",Saint Clair County,,,
84394,9189,60143,zip,IL,IL,Itasca,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,,,2267.859121
85327,9569,62095,zip,IL,IL,Wood River,"St. Louis, MO-IL",Madison County,,,
84657,10018,60661,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2332.069092,2359.378535,2465.331961
84307,10132,60044,zip,IL,IL,Lake Bluff,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,,,
84405,10802,60155,zip,IL,IL,Broadview,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,
85073,11156,61606,zip,IL,IL,Peoria,"Peoria, IL",Peoria County,,,1223.490548
84289,11190,60020,zip,IL,IL,Fox Lake,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,,,
84608,11930,60606,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2427.886202,2541.941383,2565.250848
84440,12548,60195,zip,IL,IL,Schaumburg,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1625.100221,1654.848497,1717.622706
84452,16890,60301,zip,IL,IL,Oak Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2091.445035,2213.942912,2199.866053
84605,21722,60603,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,2143.13397,2299.995586
