id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,neighbourhood_normalized,zip_code
1106854440294479414,A1- Next to the train & Downtown,467078606,Rafael,,Lower West Side,41.85379686125053,-87.68254069983058,Private room,44.0,2,11,2024-06-04,3.14,5,182,11,R24000114379,lower west side,60608
1106896611524045399,A2-Next to the Train & Downtown,467078606,Rafael,,Lower West Side,41.85211841334019,-87.68107805493071,Private room,58.0,2,3,2024-06-10,0.96,5,183,3,R24000114379,lower west side,60608
1106899051615180184,"Comfy Basement (DT/Airport, Pkg)",105147142,Tuan,,Jefferson Park,41.9736,-87.77819,Entire home/apt,75.0,2,1,2024-05-06,0.64,5,201,1,R21000072221,jefferson park,90018
1106915074628323878,A3-Next to the Train & Downtown,467078606,Rafael,,Lower West Side,41.85206,-87.68185,Private room,44.0,2,6,2024-06-02,1.89,5,170,6,R24000114379,lower west side,60608
1106934007390867405,A4-Next to the Train & Downtown,467078606,Rafael,,Lower West Side,41.85431661337231,-87.68076301271144,Private room,48.0,2,9,2024-06-03,2.93,5,175,9,R24000114379,lower west side,60608
1106947331327635212,A5-Next to the Train & Downtown,467078606,Rafael,,Lower West Side,41.854260485052,-87.68199986329819,Private room,57.0,2,5,2024-05-20,2.68,5,180,5,R24000114379,lower west side,60608
1108707797515486400,Private Gem on quiet street in Andersonville,7290641,Megan,,Edgewater,41.97967553280064,-87.66359942738747,Entire home/apt,200.0,2,8,2024-06-04,3.16,1,319,8,R24000113273,edgewater,78248
1108750513802117816,Charming Elmwood Park Retreat,112113880,Dawn,,Dunning,41.93797636277643,-87.82611021880138,Entire home/apt,389.0,5,0,,,1,216,0,,dunning,60634
1108991840086894811,Pastel Loft 1 mi from Lake Michigan!,566268717,Josh,,Rogers Park,42.01905985760929,-87.67895779625748,Entire home/apt,264.0,2,5,2024-06-17,3.33,1,260,5,R23000099618,rogers park,60626
1109526370868715349,2-bedroom unit w/FREE parking,566397122,Alis,,Lincoln Park,41.91722,-87.63781,Entire home/apt,269.0,1,12,2024-06-06,4.04,9,244,12,R23000102185,lincoln park,80204
1109875031394169701,1 bedroom apt near Michigan Lake,170040135,Zorana,,Rogers Park,42.00314,-87.66982,Entire home/apt,107.0,1,10,2024-06-18,4.0,1,51,10,R24000115102,rogers park,60626
1110136730263134390,Charming Chicago Apartment,348831920,Shannon,,Rogers Park,42.01695,-87.66737,Entire home/apt,125.0,1,3,2024-05-26,1.96,1,18,3,R24000115305,rogers park,60626
1110214404177837666,Sleek 1-Bedroom Apt in Chicago,558769191,Holly,,Hyde Park,41.79908,-87.5853,Entire home/apt,112.0,1,15,2024-05-27,4.74,9,242,15,R23000109924,hyde park,63107
1110329629221408634,Inviting 2-Bedroom Apt in Hyde Park,558769191,Holly,,Hyde Park,41.79983,-87.59177,Entire home/apt,155.0,1,5,2024-05-27,1.81,9,239,5,R23000109851,hyde park,63107
1110851028892552028,"Lovely 2B, 5 min from the beach",518917937,Bella,,Edgewater,41.98515,-87.66315,Entire home/apt,146.0,1,10,2024-06-10,3.16,20,245,10,R24000114260,edgewater,78248
1110975316013445404,Chicago’s home away from home.,3520842,Jessica,,Avondale,41.93397145490474,-87.70701908970412,Entire home/apt,300.0,1,1,2024-06-09,1.0,1,123,1,R24000116115,avondale,95824
1112331563625627675,2BR Comfy and Roomy Apt in Chicago,490752114,Sevyn,,Hyde Park,41.79851613967134,-87.58428549256666,Entire home/apt,139.0,1,8,2024-05-28,2.64,9,261,8,R23000109856,hyde park,63107
1112362285473559718,Serene & Contemporary Studio Apartment,473817080,Jaden,,Hyde Park,41.79881,-87.58245,Entire home/apt,102.0,1,7,2024-06-01,2.33,9,262,7,R23000109845,hyde park,63107
1112386086154789039,1BR Modern Apartment in Chicago,429410420,Yval,,Hyde Park,41.79849581813918,-87.58461950783752,Entire home/apt,154.0,2,4,2024-05-26,1.46,8,256,4,R23000109864,hyde park,63107
1112446287328147080,Serene Studio Apartment in Hyde Park,478012407,Mason,,Hyde Park,41.80018253840122,-87.58259130212713,Entire home/apt,99.0,1,11,2024-05-31,3.71,9,263,11,R23000109852,hyde park,63107
1112464626833127978,Cozy & Comfy Studio Apt in Chicago,148973907,Mia & Noah,,Hyde Park,41.80036032869291,-87.5839303564458,Entire home/apt,98.0,1,4,2024-06-02,1.35,8,266,4,R23000109853,hyde park,63107
1112973920225516314,Lincoln Park Studio,109332443,Lucas,,Lincoln Park,41.930007080028176,-87.64588369139567,Entire home/apt,80.0,32,0,,,1,59,0,,lincoln park,80204
1113176237827558452,"""Exquisite Urban Sanctuary:",536954762,Jesse,,West Garfield Park,41.87546995666554,-87.72333260625601,Private room,96.0,32,0,,,2,270,0,,west garfield park,60624
1115233118926320705,Lovely Lake Side Apartment,168912622,Nour,,Edgewater,41.98286,-87.65365,Entire home/apt,119.0,1,13,2024-06-14,4.94,1,108,13,R24000115153,edgewater,78248
1116018062070600184,Sunny Twin,82114082,Genova,,Lower West Side,41.85131,-87.67082,Private room,33.0,1,4,2024-06-13,1.62,4,101,4,R23000099914,lower west side,60608
1116675590133734447,816 PLZN PentHouse | Priv Rooftop | Garage Parking,3056209,Denzilt,,Lower West Side,41.8554545,-87.6468926,Entire home/apt,328.0,1,16,2024-06-20,7.62,4,192,16,R22000078828,lower west side,60608
1116740709556062478,Cozy 2 Bed Apt - Midway Airport,516606837,Dream,,Brighton Park,41.82860200797381,-87.69547313064336,Entire home/apt,150.0,1,2,2024-06-03,2.0,1,229,2,R24000115560,brighton park,60632
