id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,neighbourhood_normalized,zip_code,31-12-2023,31-03-2024,30-06-2024
5.77E+17,South Loop Luxury Lofts,139765116,Jose,Bridgeport,41.84093,-87.65934,Private room,,2,14,7,350,6,bridgeport,60616,70,70,70
5.77E+17,🥇⛺️ MODERN TINY HOME IN CHICAGO,77414650,Red Door,Greater Grand Crossing,41.76679,-87.62086,Entire home/apt,,32,0,18,365,0,greater grand crossing,60619,200,200,200
5.78E+17,The Logan Square Guest House (Free Parking!),1109943,Mike,Logan Square,41.92615,-87.69825,Entire home/apt,,2,58,1,158,19,logan square,19103,247,217,273
5.78E+17,Modern & new Ravenswood 2BR on Winnemac Park,25756190,Reva,Lincoln Square,41.97541131,-87.68395693,Entire home/apt,,3,19,1,111,19,lincoln square,60625,174,182,188
5.79E+17,The Cornell | South Shore 3BR Condo |  Sleeps 8,122823566,Frantz,South Shore,41.75335,-87.58399,Entire home/apt,,2,41,1,307,23,south shore,60619,77,98,127
5.80E+17,The Roscoe Village Guest Suite 2,9959757,Jedidiah,North Center,41.94189,-87.67952,Entire home/apt,,32,9,9,309,4,north center,60657,105,99,120
5.80E+17,Lovely 2 bedroom apartment in Portage park.,448924033,Flerida,Portage Park,41.95127,-87.75155,Entire home/apt,,1,33,1,310,8,portage park,60634,125,125,135
5.80E+17,"Blueground | W. Loop, w/d & pool, 3 blocks to L",107434423,Blueground,Near West Side,41.885209,-87.6471114,Entire home/apt,,32,2,549,328,1,near west side,60612,140,113,211
5.80E+17,Lazy Bee-Rare Loft w/Chicago skyline views!,327935979,Erick,Lower West Side,41.856613,-87.654671,Entire home/apt,,2,7,3,111,1,lower west side,60608,499,379,428
5.80E+17,Vintage Hyde Park Home,69130426,Charla,Hyde Park,41.79831,-87.60341,Entire home/apt,,32,6,2,286,2,hyde park,63107,110,110,110
5.81E+17,Quiet room #1,246839504,Silvia,Woodlawn,41.78282,-87.60893,Private room,,2,68,6,342,23,woodlawn,97211,45,45,45
5.81E+17,Cozy space in Wicker Park,1666010,Rachel,West Town,41.90677,-87.68532,Entire home/apt,,2,51,1,212,20,west town,60612,139,139,152
5.82E+17,Entire house with 2-3 Bedroom with full kitchen,371702427,Adetoke,Austin,41.8698,-87.75788,Entire home/apt,,32,4,1,41,0,austin,60639,109,109,109
5.83E+17,"Two BR, 3 mi from downtown, 4 blocks from train",25561251,Chicago Home Stays,Lower West Side,41.856529,-87.681747,Entire home/apt,,32,3,8,315,1,lower west side,60608,38,43,60
5.83E+17,Cozy one bedroom apartment,369311284,Vayrhenia,Chatham,41.74249058,-87.60204732,Private room,,32,0,1,365,0,chatham,60619,65,65,65
5.83E+17,Private 1 bedroom apartment,172755286,Justin,Lake View,41.95366,-87.64735,Entire home/apt,,1,66,2,40,26,lake view,60657,81,93,201
5.83E+17,HIGH-FLOOR condo overlooking downtown River North,63313003,K,Near North Side,41.89749,-87.63267,Entire home/apt,,32,0,15,349,0,near north side,60610,136,136,169
5.83E+17,Prime 2BR Apartment close to Park & Lakefront,436809861,Inca And Chris,Lake View,41.9437,-87.6448,Entire home/apt,,1,58,8,146,29,lake view,60657,53,97,258
5.83E+17,2BR Comfy and Stylish Apt in West Town,429410420,Yval,West Town,41.8924,-87.66485,Entire home/apt,,1,73,8,145,34,west town,60612,60,111,195
5.84E+17,Lux 2 bdr in Ravenswood close to Wrigley|Downtown,273591286,Regina,Uptown,41.97166,-87.67297,Entire home/apt,,1,138,16,39,49,uptown,92103,79,92,198
5.85E+17,Bowmanville B&B short term rental,100539600,Anne,Lincoln Square,41.97826,-87.68371,Entire home/apt,,2,20,1,311,13,lincoln square,60625,191,191,191
5.85E+17,Stylish 5BR/3BA - 2 Units - 2 Kitchens + Parking!,450062061,Jacob,Humboldt Park,41.91288,-87.70872,Entire home/apt,,3,42,1,355,20,humboldt park,60651,338,350,397
5.85E+17,Spacious NEW modern single-family home downtown,31113244,Cary,West Town,41.897385,-87.665993,Entire home/apt,,1,15,4,333,6,west town,60612,924,810,881
5.85E+17,"Blueground | W. Loop, pool, in heart of Greektown",107434423,Blueground,Near West Side,41.876791,-87.64762,Entire home/apt,,32,0,549,307,0,near west side,60612,91,119,228
5.86E+17,Sunny Private Room,29451512,Jonathan,West Town,41.90262,-87.69396,Private room,,14,22,1,54,18,west town,60612,40,40,40
5.86E+17,Cozy room in house w/couple & 2 cats,9923391,Jennifer,Lincoln Park,41.9225,-87.65157,Private room,,2,54,3,179,37,lincoln park,80204,60,85,87
5.87E+17,Modern 70’s style basement in Chicago.,450438687,Carlos,West Lawn,41.76164,-87.71618,Entire home/apt,,32,0,1,365,0,west lawn,60652,114,114,114
5.87E+17,*Extended Stay* Chicago FHS Rental - Narragansett,136825532,FreeStand Home Solutions,Clearing,41.78377,-87.78271,Entire home/apt,,32,0,10,179,0,clearing,60638,549,374,499
5.87E+17,2-Bed/2Bath apt close to UIC and Hyde Park,299139831,D,Washington Park,41.78635,-87.61754,Entire home/apt,,2,59,6,240,24,washington park,80209,99,105,122
5.87E+17,Chicago Bootlegger House Sleeps 10-20,5911294,Will,Lake View,41.939232,-87.641678,Entire home/apt,,2,81,5,268,33,lake view,60657,655,252,522
5.87E+17,CHI's very BEST location! Walk/train everywhere!,108294768,Emily,Lincoln Park,41.930599,-87.659378,Entire home/apt,,4,26,1,112,15,lincoln park,80204,175,181,160
5.88E+17,Cozy/Spacious WFH Family Friendly w Permit Parking,126810981,Nathaniel,West Town,41.90115,-87.68972,Entire home/apt,,3,82,2,84,35,west town,60612,195,186,259
5.88E+17,Warm|Cozy|Lovely|1BR|Lincoln Sq.|,96730613,Demitri,Lincoln Square,41.96455,-87.68638,Entire home/apt,,2,94,26,140,37,lincoln square,60625,81,84,119
5.89E+17,Updated 3 BRMS with free garage parking,79394430,Jade,Albany Park,41.96398,-87.71318,Entire home/apt,,3,28,1,246,10,albany park,60630,221,214,214
5.89E+17,"M1. Next to Downtown, best location",450930758,Eladio,Brighton Park,41.82473,-87.69288,Private room,,2,53,8,192,16,brighton park,60632,21,26,44
5.89E+17,✨Unique 3br private apartment✨,137265085,Kendra,Logan Square,41.91418,-87.69904,Entire home/apt,,1,71,1,217,25,logan square,19103,153,165,224
5.89E+17,i1- Right in front United Center&Next to Downtown,450973617,Adriana,Near West Side,41.87975,-87.67841,Private room,,2,96,4,158,53,near west side,60612,26,36,59
5.89E+17,Cozy Lakeview apartment near Train Station,381550638,David & Jenny,Lake View,41.9438848,-87.6713508,Entire home/apt,,2,43,1,112,43,lake view,60657,144,96,201
5.90E+17,Cheerful Bedroom in Chicago,5166793,Carrie & Brad,Logan Square,41.92228,-87.68716,Private room,,1,62,2,68,26,logan square,19103,46,49,78
5.90E+17,Lovely - 2BR 1st Floor Apart. w/ Free St. Parking,51946578,Roberto,Hermosa,41.91755,-87.73842,Entire home/apt,,32,27,4,308,3,hermosa,60639,82,100,100
5.90E+17,Bridgeport Patio - Free Parking - Outdoor Dining!,26567253,Shawn,Bridgeport,41.83691,-87.6551,Entire home/apt,,3,17,2,330,9,bridgeport,60616,83,114,158
5.91E+17,The Wilson Club,451250349,Jquail,Uptown,41.96589,-87.65756,Entire home/apt,,32,0,1,180,0,uptown,92103,200,200,200
5.91E+17,Sounds Of The City,9923391,Jennifer,Lincoln Park,41.921867,-87.653091,Entire home/apt,,2,102,3,144,37,lincoln park,80204,106,153,160
5.91E+17,"2 BR Apt, close to McCormick, IIT, free parking",40832200,Michael,Douglas,41.83231,-87.62002,Entire home/apt,,2,43,7,245,16,douglas,60616,89,92,115
5.91E+17,South Loop Luxury Lofts,139765116,Jose,Bridgeport,41.83926,-87.66092,Private room,,2,16,7,318,4,bridgeport,60616,53,53,53
5.91E+17,Convenient Location Near Loyola/Northwestern,447064744,Kwan,Rogers Park,42.01769,-87.66949,Entire home/apt,,2,60,1,345,20,rogers park,60626,191,186,249
5.91E+17,"L1. Next to Downtown, Best location",442225178,Mirko,Mckinley Park,41.83467,-87.66418,Private room,,2,45,4,186,17,mckinley park,60609,21,30,41
5.92E+17,"Private room, Near IIT, McCormick, free parking5",40832200,Michael,Douglas,41.83166,-87.6194,Private room,,2,45,7,257,20,douglas,60616,45,39,55
5.92E+17,Entire 1-bedroom Apartment in Vintage Bungalow,451528879,Emily,Irving Park,41.95707,-87.71429,Entire home/apt,,2,48,1,0,19,irving park,60618,96,92,204.6382979
5.93E+17,"L3. Next to downtown, best location",442225178,Mirko,Mckinley Park,41.83431,-87.66468,Private room,,2,66,4,186,32,mckinley park,60609,23,29,44
5.93E+17,"L4. Next to Downtown, best location",442225178,Mirko,Mckinley Park,41.83425,-87.66424,Private room,,2,68,4,183,29,mckinley park,60609,21,30,41
5.93E+17,"M2. Next to Downtown, Best location",450930758,Eladio,Brighton Park,41.82666,-87.69286,Private room,,2,46,8,188,19,brighton park,60632,21,30,42
5.93E+17,"M3. Next to Downtown, Best location",450930758,Eladio,Brighton Park,41.82468,-87.69353,Private room,,2,40,8,192,13,brighton park,60632,22,29,41
5.93E+17,"M4. Next to Downtown, Best location and affordable",450930758,Eladio,Brighton Park,41.82665,-87.69208,Private room,,2,50,8,187,18,brighton park,60632,25,26,41
5.93E+17,South Loop Luxury Lofts,139765116,Jose,Bridgeport,41.84119,-87.65942,Private room,,2,8,7,342,2,bridgeport,60616,53,53,53
5.93E+17,Bright & Cozy 2 Bedroom Apt - 15 Min to downtown!,54406799,Angelica,Bridgeport,41.83802867,-87.64922376,Entire home/apt,,1,72,1,280,42,bridgeport,60616,141,138,135
5.94E+17,Modern 3-Bedroom w/ Firepit 15 minutes to downtown,451998312,Ryan,Logan Square,41.92877,-87.72403,Entire home/apt,,3,57,1,325,25,logan square,19103,236,226,254
5.95E+17,SPACIOUS & MODERN 3 BR HOME | WI-Fi | FREE PARKING,452122854,Seven Properties,Fuller Park,41.81539,-87.63297,Entire home/apt,,2,32,3,329,14,fuller park,60609,141,250,250
5.96E+17,Safest Area home #1 in Roscoe Village next to park,431747836,Paria & Damoon,North Center,41.93885,-87.67942,Entire home/apt,,32,16,2,265,4,north center,60657,150,179,200
5.96E+17,McCormick Entire 3 Bedroom w/ Free Parking | Loop,133403638,Stephanie,Armour Square,41.84952,-87.63098,Entire home/apt,,2,55,1,104,23,armour square,60616,249,215,266
5.96E+17,Stunningly Master Bedroom,871911,Mo  &  Ganna,Lake View,41.94456,-87.65249,Private room,,1,3,6,258,2,lake view,60657,50,47,55
5.96E+17,One Comfy Bedroom,871911,Mo  &  Ganna,Lake View,41.94416,-87.65222,Private room,,1,3,6,262,3,lake view,60657,45,42,65
5.97E+17,Rustic Private BR - 5 min to Chinatown & Downtown,436959191,Yan Na,Bridgeport,41.84761,-87.64696,Private room,,1,67,19,338,35,bridgeport,60616,45,38,42
5.97E+17,🏆🎭📽 ELEGANT-ELEVATED LIVING SOCIAL (CLUBHOUSE),77414650,Red Door,Woodlawn,41.77494,-87.60757,Entire home/apt,,32,37,18,288,0,woodlawn,97211,96,96,96
5.97E+17,🏆🍇🍑CRÈME DE LA CRÈME OF COMFORT,77414650,Red Door,Woodlawn,41.77564,-87.60769,Entire home/apt,,32,26,18,356,0,woodlawn,97211,63,63,63
5.97E+17,2BR Airy & Tidy Apt w/ Free Covered Parking,429410420,Yval,Portage Park,41.96772103,-87.76889901,Entire home/apt,,2,87,8,139,46,portage park,60634,48,85,154
5.97E+17,Suburban 3BR Apt w/ Parking near O'Hare & Downtown,429410420,Yval,Portage Park,41.96543,-87.76666,Entire home/apt,,1,69,8,175,34,portage park,60634,54,105,120
5.97E+17,Lovely 1 bedroom with indoor fireplace,210952229,Alonso,Near West Side,41.87299,-87.69103,Private room,,32,3,1,301,0,near west side,60612,48,48,48
5.97E+17,1BR Trendy Basement Apt w/ Laundry & Parking,429410420,Yval,Portage Park,41.96715,-87.76698,Entire home/apt,,1,42,8,174,23,portage park,60634,59,65,98
5.97E+17,4 Bedroom Apartment near Southport,11036600,Mari,Lake View,41.93903,-87.66449,Entire home/apt,,32,0,6,77,0,lake view,60657,199,160,160
5.98E+17,Stunning 3 BR in prime Chicago location!,452720171,Sam,Lincoln Park,41.930016,-87.653419,Entire home/apt,,2,132,1,28,53,lincoln park,80204,200,167,202
5.98E+17,"Blueground | W. Loop, deck, pool & gym, near L",107434423,Blueground,Near West Side,41.88501,-87.64403,Entire home/apt,,32,0,549,250,0,near west side,60612,116,125,319
5.98E+17,"Blueground | Loop, gym & lounge, nr Riverwalk",107434423,Blueground,Loop,41.8860812,-87.6342223,Entire home/apt,,32,0,549,148,0,loop,60605,155.6086957,177,185
5.99E+17,Urban Oasis: 2 floors with 2 bd/2ba and backyard,94425307,Jamie,West Town,41.90466,-87.69258,Entire home/apt,,2,26,1,359,10,west town,60612,300,300,326
5.99E+17,Ideal 1BR Apartment close to Beach Loyola Park,435770634,Nico And Dyan,Rogers Park,42.00765,-87.66817,Entire home/apt,,1,71,10,165,35,rogers park,60626,56,73,112
5.99E+17,✨🧼SPECTACULAR & CLEAN 420 FRIENDLY SPACE,77414650,Red Door,Woodlawn,41.77486,-87.60748,Entire home/apt,,32,12,18,364,0,woodlawn,97211,111,111,111
5.99E+17,😍🏡 3STORY 2KITCHEN 5BD/ROOM (GETAWAY)VACATION HOME,77414650,Red Door,Woodlawn,41.77803,-87.59305,Entire home/apt,,32,4,18,364,0,woodlawn,97211,943,943,943
5.99E+17,Private BR w/ full size bed - 4 min Walk to CTA,436959191,Yan Na,Bridgeport,41.84752,-87.64548,Private room,,1,62,19,307,14,bridgeport,60616,43,45,49
5.99E+17,Prime Location Duplex - 4BD/3BA - Sleeps 12!,246090809,Niyati,West Town,41.90828,-87.66388,Entire home/apt,,3,53,1,277,23,west town,60612,324,342,446
5.99E+17,Modern Apt with style & comfort in Pilsen Chicago,300921150,Gogo,Lower West Side,41.8515,-87.68064,Entire home/apt,,2,142,1,26,80,lower west side,60608,72,81,115
5.99E+17,"2 Rooftops, 2 Car Garage, 4 Stories|Down-Townhome",434462119,GOATstays,Near North Side,41.91052,-87.64077,Entire home/apt,,2,80,11,319,31,near north side,60610,130,154,299
5.99E+17,Lovely 2bedroom  1bath  Apt and outdoor seating.,453055712,Isabel M,Avondale,41.93998,-87.71336,Entire home/apt,,2,76,1,308,31,avondale,95824,120,130,138
5.99E+17,Fantastic 1 Bedroom in River North Great Location,391945218,Matt,Near North Side,41.88828,-87.63732,Entire home/apt,,32,0,57,122,0,near north side,60610,100,115,265
5.99E+17,Lovely 4-bedroom condo with free street parking,348497711,Rediet,Grand Boulevard,41.80581,-87.61928,Entire home/apt,,32,0,1,365,0,grand boulevard,60615,212,212,212
5.99E+17,"Long Term for up to 8, spacious & cozy 3-BDR condo",441310992,Georges,West Ridge,41.9986,-87.69708,Entire home/apt,,32,4,3,267,1,west ridge,60659,105,105,110
6.00E+17,Junction Grove Inn -Spacious Boutique Two Bedroom,256888705,Jennipher,Englewood,41.77335,-87.63179,Entire home/apt,,32,2,2,203,0,englewood,60621,100,105.6363636,100
6.00E+17,"Blueground | Streeterville, pool, nr beach & park",107434423,Blueground,Near North Side,41.8928645,-87.6165167,Entire home/apt,,32,0,549,312,0,near north side,60610,88,125,190
6.00E+17,"Blueground | Edgewater, gym & lounge, close to L",107434423,Blueground,Edgewater,41.98397,-87.65545,Entire home/apt,,32,2,549,324,1,edgewater,78248,123,87,216
6.00E+17,Pilsen 1R 1bed/1bath + Free Laundry +GreatLocation,100782278,Chicago Furnished,Lower West Side,41.8556,-87.65992,Entire home/apt,,32,8,34,332,4,lower west side,60608,53,105,114
6.01E+17,1 bed apartment + futon room bridgeport,308296108,Ragan,Mckinley Park,41.82837,-87.67278,Entire home/apt,,2,79,1,43,23,mckinley park,60609,80,88,127
6.01E+17,Pilsen 3R 1bed/1bath + Free Laundry +GreatLocation,100782278,Chicago Furnished,Lower West Side,41.8552,-87.65978,Entire home/apt,,32,5,34,299,1,lower west side,60608,109,104,91
6.01E+17,Pilsen 2R *In-Unit Laundry* 2bed/1bath !Location!,100782278,Chicago Furnished,Lower West Side,41.85724,-87.65988,Entire home/apt,,32,3,34,325,1,lower west side,60608,16,87,96
6.01E+17,Pilsen 2F *In-Unit Laundry* 2bed/1bath !Location!,100782278,Chicago Furnished,Lower West Side,41.85514,-87.66032,Entire home/apt,,32,5,34,318,1,lower west side,60608,74,64,134
6.01E+17,Roscoe Village Family Hideaway,447272522,Ravenswood Properties,Lake View,41.94564,-87.6735,Entire home/apt,,2,24,1,320,20,lake view,60657,588,359,644
6.01E+17,7B4/7C4eih1 Cozy Night's Stay-One Bedrm in Chicago,22094147,Jim And Emma,East Garfield Park,41.87878175,-87.7024542,Private room,,32,24,14,343,1,east garfield park,60612,33,38,427
6.01E+17,Cozy 3 Bedroom Condo near University of Chicago,48801055,Iman,Woodlawn,41.77629,-87.60802,Entire home/apt,,2,37,1,290,17,woodlawn,97211,220,220,246
6.01E+17,McCormick Private Rooftop Lux Penthouse/sleeps 8,395498979,Milan,Near South Side,41.8535,-87.62372,Entire home/apt,,2,45,67,322,15,near south side,60616,382,260,576
6.02E+17,Cathedral ceiling oasis in the city,44967753,Peter,Lincoln Square,41.96882,-87.68828,Entire home/apt,,3,44,1,104,18,lincoln square,60625,297,347,338
6.03E+17,Modern 4 Bedroom Greystone | White Sox,434462119,GOATstays,Douglas,41.82926,-87.61738,Entire home/apt,,2,39,11,321,18,douglas,60616,107,108,138
6.03E+17,Modern 4 Bedroom Apt Next to Park&Pool | Lakeview,434462119,GOATstays,North Center,41.93679,-87.67984,Entire home/apt,,2,40,11,294,13,north center,60657,133,150,216
6.03E+17,Bright/Cozy/Hip 2/1 Apt |  Logan Square,434462119,GOATstays,Logan Square,41.91847,-87.70524,Entire home/apt,,2,21,11,323,8,logan square,19103,74,78,91
6.03E+17,4/2 Home + Foosball Table | Near Wrigley,434462119,GOATstays,North Center,41.94163,-87.67544,Entire home/apt,,2,38,11,336,15,north center,60657,106,104,164
6.04E+17,Personal Parking & Laundry!,1567060,Cher,West Ridge,42.00122,-87.7058,Entire home/apt,,2,79,1,324,38,west ridge,60659,73,71,125
6.04E+17,"Blueground | Edgewater, gym & lounge, close to L",107434423,Blueground,Edgewater,41.98397,-87.65545,Entire home/apt,,32,0,549,0,0,edgewater,78248,123,87,151.4074074
6.05E+17,Cozy home w/ 4 bedrooms in Bridgeport Chicago,454337450,M,Bridgeport,41.84258913,-87.65776151,Entire home/apt,,2,12,1,200,12,bridgeport,60616,155,220,205
6.05E+17,Edgewater Arts & Crafts Retreat 2,118370296,John,Edgewater,41.98739,-87.66235,Private room,,2,50,1,106,27,edgewater,78248,56,50,56
6.06E+17,"Blueground | Edgewater, gym & lounge, close to L",107434423,Blueground,Edgewater,41.98397,-87.65545,Entire home/apt,,32,0,549,266,0,edgewater,78248,123,87,259
6.06E+17,"Comfy 3 bd room, 20 mins downtown free park/backyd",72973978,DeAnn,South Shore,41.75444,-87.57594,Entire home/apt,,2,21,1,101,1,south shore,60619,210,180,180
6.06E+17,Lovely Wrigleyville Loft,454466518,Ana,Lake View,41.95018,-87.66478,Entire home/apt,,2,44,1,327,22,lake view,60657,186,189,257
6.06E+17,Kasa | Premium Studio w/ Full Kitchen | Chicago,88566861,Kasa,Near North Side,41.89569,-87.62795,Entire home/apt,,1,45,16,298,21,near north side,60610,146,192,430
6.06E+17,"Entire floor 2-bedroom, private bath, fridge, W/D",1822496,Telly,Lincoln Park,41.930462,-87.651527,Private room,,1,20,1,349,12,lincoln park,80204,560,489,624
6.06E+17,Modern Garden Suite,53937685,Chris And Ana,Forest Glen,42.01031,-87.78624,Entire home/apt,,1,37,1,338,31,forest glen,60630,178,131,197
6.07E+17,🍒CLASSY UNIVERSITY OF CHICAGO HIDDEN GEM,77414650,Red Door,Woodlawn,41.78278,-87.59566,Entire home/apt,,32,0,18,365,0,woodlawn,97211,171,171,171
6.07E+17,"Luxurious, custom built single family home",5653355,Ben,Lake View,41.959305,-87.668091,Entire home/apt,,1,50,1,277,18,lake view,60657,857,793,1084
6.08E+17,Boho 1-bedroom w/ free street parking,177511412,La Vecindad,Lower West Side,41.85074,-87.67691,Private room,,2,24,5,347,9,lower west side,60608,99,99,110
6.08E+17,Boho Chic Coach House 30Min to downtown W/ Parking,24369344,Marilyn,Mount Greenwood,41.6946,-87.70251,Entire home/apt,,2,96,1,303,47,mount greenwood,60655,100,106,106
6.08E+17,The Ivy at Wrigley field by Wrigleyville Oasis,130968209,Carlos,Lake View,41.949909,-87.656319,Entire home/apt,,2,41,5,256,23,lake view,60657,237,296,369
6.08E+17,New Lux Sky Home near Navy Pier & Mag Mile 2BR 2BA,24388042,DeLuxe,Near North Side,41.89139,-87.61805,Entire home/apt,,32,3,15,318,0,near north side,60610,262,177,262
6.09E+17,"Clean 5 Star 2 BR Greystone, Heart of Logan Square",28750932,Caitlin,Logan Square,41.92645,-87.69916,Entire home/apt,,2,27,1,145,14,logan square,19103,225,206,246
6.09E+17,McCormick 3B/2Ba w optional parking/Up to 8 guests,395498979,Milan,Near South Side,41.85415,-87.62515,Entire home/apt,,2,61,67,330,25,near south side,60616,171,228,423
6.09E+17,Contemporary Luxe Studio with Free Parking,117498144,Dasha & Owen,Irving Park,41.94308,-87.73092,Entire home/apt,,32,7,5,278,2,irving park,60618,67,50,100
6.09E+17,3D Tour! Designer Condo near Logan Square,24384324,Walid,Humboldt Park,41.91331,-87.72971,Entire home/apt,,2,131,1,217,53,humboldt park,60651,68,76,94
6.09E+17,Up to 8 people - Large Chicago Classic 3Bdr1Ba,441310992,Georges,West Ridge,41.99912,-87.69704,Entire home/apt,,2,52,3,260,29,west ridge,60659,169,201,304
6.09E+17,H4-A Block to Wrigley Field - UpTo5Guests,441385627,Neyla Edecia,Lake View,41.94887,-87.65802,Private room,,2,77,4,164,42,lake view,60657,28,34,65
6.09E+17,Quirky Quarters at Wrigley,3230291,David,Lake View,41.95125,-87.6614,Entire home/apt,,32,128,16,347,57,lake view,60657,87,104,225
6.09E+17,H3- A Block to Wrigley Field - UpTo5Guests,441385627,Neyla Edecia,Lake View,41.94707,-87.65812,Private room,,2,75,4,171,33,lake view,60657,25,35,64
6.10E+17,H2- A Block to Wrigley Field - UpTo3Guests,441385627,Neyla Edecia,Lake View,41.94898,-87.65804,Private room,,2,59,4,316,29,lake view,60657,27,34,66
6.10E+17,"Cozy 2BR, Own Entrance, Gated Free Parking Spot",122708855,Kim And Alvaro,Hermosa,41.92736,-87.73217,Entire home/apt,,2,45,1,135,21,hermosa,60639,94,89,117
6.10E+17,23rd Pl 3D with Private Bathroom,21891111,Ming,Lower West Side,41.84831,-87.68449,Private room,,5,11,8,0,2,lower west side,60608,55,55,46.28571429
6.10E+17,Elegant Hideaway in the Heart of Andersonville,169297663,William,Uptown,41.97594,-87.66846,Entire home/apt,,3,83,19,269,22,uptown,92103,164,159,212
6.10E+17,North Studio Suite at La Maison Lincoln Square,16500117,Sara,Lincoln Square,41.96412,-87.68476,Private room,,2,53,2,30,33,lincoln square,60625,73,68,78
6.11E+17,UChicago Luxurious King Suite Lakefront,455378162,Chiaka,South Shore,41.77303,-87.57758,Entire home/apt,,2,47,1,177,23,south shore,60619,91,100,121
6.11E+17,"Luxury Home near Wrigley, Boystown & Andersonville",46939427,Anthony,North Center,41.955685,-87.689178,Entire home/apt,,2,0,9,244,0,north center,60657,750,773,773
6.11E+17,Great Condo Downtown Chicago! Perfect location,419508755,Sergio,Near South Side,41.859962,-87.624557,Entire home/apt,,32,0,1,365,0,near south side,60616,458,458,458
6.11E+17,Art Inspired Two Bedroom Apartment,256888705,Jennipher,Englewood,41.77321182,-87.63258889,Entire home/apt,,32,1,2,308,0,englewood,60621,117,117,117
6.12E+17,Funky 3 bed 2 bath w/ fireplace & rooftop patio,46000766,John,Lincoln Park,41.93169,-87.66758,Entire home/apt,,2,52,1,63,34,lincoln park,80204,189,166,356
6.12E+17,Cozy one-bedroom suite in the heart of West Loop,75265639,Caroline,West Town,41.890217,-87.651314,Entire home/apt,,2,87,1,277,46,west town,60612,121,105,142
6.13E+17,Lincoln Park 2bed/2bath in Historic Neighborhood,1910771,Michael,Lincoln Park,41.92597,-87.6444,Entire home/apt,,5,109,3,114,59,lincoln park,80204,204,273,369
6.13E+17,"2 Bed Apt w/ Office, Free Parking, Near Wrigley",27275184,Ditron,Lake View,41.94864,-87.66803,Entire home/apt,,32,45,3,274,15,lake view,60657,138,151,212
6.13E+17,2/2 Apt in the City | Downtown Chicago,434462119,GOATstays,Near North Side,41.90224,-87.63229,Entire home/apt,,2,45,11,295,14,near north side,60610,92,98,118
6.13E+17,Downtown Mich Ave #7|Safe Park 2bd Penthouse|+gym,98193524,Jeremy,Loop,41.871098,-87.624046,Entire home/apt,,2,97,33,48,46,loop,60605,151,191,343
6.13E+17,Classy Deluxe Modern 1BR 1BTH - West Town Chicago,9851063,Jason,West Town,41.895721,-87.675705,Entire home/apt,,1,25,2,38,12,west town,60612,123,107,124
6.14E+17,Stylish 3BR with tons of natural light & backyard,126543638,Alec,Brighton Park,41.81729,-87.68579,Entire home/apt,,2,80,4,296,40,brighton park,60632,103,106,188
6.15E+17,Quiet Room #5,246839504,Silvia,Woodlawn,41.78438,-87.6077,Private room,,2,77,6,318,31,woodlawn,97211,45,35,45
6.15E+17,Lovely bedroom close to the lake & public transit,257850882,Manuel,Rogers Park,42.0052238,-87.67095943,Private room,,32,0,1,364,0,rogers park,60626,26,26,74
6.15E+17,Vibrant studio in Edgewater by the red L& Loyola,273591286,Regina,Edgewater,41.98822,-87.65694,Entire home/apt,,1,101,16,72,45,edgewater,78248,67,73,121
6.15E+17,Modern 1 bdr in Edgewater by Red Line and Loyola,273591286,Regina,Edgewater,41.99019,-87.65554,Entire home/apt,,1,96,16,71,42,edgewater,78248,59,76,114
6.15E+17,Modern 2 Bedroom Walk Up Condo in Irving Park,68844359,Logan,Irving Park,41.95656,-87.70499,Entire home/apt,,2,63,1,293,36,irving park,60618,115,149,191
6.15E+17,4/2 Home | Near Wrigley I Sleeps 12 People,434462119,GOATstays,Lake View,41.94898,-87.66754,Entire home/apt,,2,55,11,171,17,lake view,60657,100,109,397
6.16E+17,"Blueground | Edgewater, gym & lounge, close to L",107434423,Blueground,Edgewater,41.98397,-87.65545,Entire home/apt,,32,1,549,0,1,edgewater,78248,123,87,151.4074074
6.16E+17,Exclusive Condo Steps from Old Town + Lincoln Park,409349669,Mark,Lincoln Park,41.91165,-87.64774,Entire home/apt,,2,70,5,193,30,lincoln park,80204,124,127,167
6.16E+17,McCormick 2B/2Ba for up to 6 guests w Opt Parking,395498979,Milan,Near South Side,41.8558,-87.62541,Entire home/apt,,2,98,67,330,48,near south side,60616,149,175,201
6.16E+17,McCormick 2B/2Ba for up to 6 guests w Opt Parking,395498979,Milan,Near South Side,41.85364,-87.62321,Entire home/apt,,2,55,67,350,19,near south side,60616,149,175,297
6.16E+17,McCormick 2B/2Ba w opt parking for up to 6 guests,395498979,Milan,Near South Side,41.85577,-87.62413,Entire home/apt,,2,84,67,356,47,near south side,60616,151,190,344
6.16E+17,McCormick 2B/2Ba for up to 6 guests w Skyline view,395498979,Milan,Near South Side,41.85431,-87.62337,Entire home/apt,,2,53,67,357,17,near south side,60616,149,168,201
6.16E+17,Luxury Chicago Condo Near Downtown,456687795,Crystal,Austin,41.89379501,-87.76843262,Entire home/apt,,2,13,1,314,13,austin,60639,131,111,126
6.16E+17,3BD Home Mins from Airport | Free Wi-Fi + Parking,131692581,Karna,Norwood Park,41.98027,-87.81545,Entire home/apt,,2,89,1,69,46,norwood park,60631,155,152,160
